PID,product_name,retail_price,simplified_categories,rating,recommedation probablity
PID9342,INDOART Wooden Spatula,900,Kitchen & Dining|Kitchen Tools,3.9,
PID9343,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Skoda Fabia Sun Shade For Skoda Fabia,459,Automotive|Accessories & Spare parts,4.2,
PID9344,Naaz 2 in 1 Paper Quilling Board Game,230,Naaz 2 in 1 Paper Quilling Board Game,3.2,
PID9345,Impala Alloy Cufflink,1400,Jewellery|Accessories,3.4,
PID9346,Clovia Women's Tube Bra,599,Clothing|Women's Clothing,3.8,
PID9347,Viral Girl Women's Full Coverage Bra,499,Clothing|Women's Clothing,4.4,
PID9348,Ajaero Slim Fit Women's Dark Blue Jeans,1699,Ajaero Slim Fit Women's Dark Blue Jeans,3,
PID9349,cherry crumble california Girl's Pink Dungaree,2099,Clothing|Kids' Clothing,3.5,
PID9350,Moladz Flip Flops,999,Footwear|Kids' & Infant Footwear,4.7,
PID9351,Clovia Women's Full Coverage Bra,349,Clovia Women's Full Coverage Bra,4.2,
PID9352,FEET FLOW Women Flats,1999,FEET FLOW Women Flats,2.9,
PID9353,People 3/4 Sleeve Solid Women's Jacket,899,Clothing|Women's Clothing,4.2,
PID9354,FEET FLOW Women Flats,1999,FEET FLOW Women Flats,4.7,
PID9355,Twin Slippers,690,Footwear|Kids' & Infant Footwear,2.6,
PID9356,Ruhi's Creations Polyester Silk Blend Cartoon King sized Double Bedsheet,1399,Ruhi's Creations Polyester Silk Blend Cartoon Ki...,3.4,
PID9357,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Tata Indica small type 3 Sun Shade For Tata Indica,459,Automotive|Accessories & Spare parts,3.3,
PID9358,Starsy Printed Women's Round Neck Black T-Shirt,1099,Starsy Printed Women's Round Neck Black T-Shirt,2.6,
PID9359,Fly U Slim Fit Fit Women's Brown Jeans,1249,Fly U Slim Fit Fit Women's Brown Jeans,4.3,
PID9360,Crafty Hands Kutchchi Mirrorwork Tapestry,1199,Crafty Hands Kutchchi Mirrorwork Tapestry (Maroon),4.2,
PID9361,FEET FLOW Women Flats,2699,FEET FLOW Women Flats,2.8,
PID9362,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Toyota Innova type 3 small Sun Shade For Toyota Innova,459,Automotive|Accessories & Spare parts,3,
PID9363,tadd Men's- Women's Ankle Length Socks,499,tadd Men's- Women's Ankle Length Socks,2.8,
PID9364,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Toyota Corolla Altis Sun Shade For Toyota Corolla,459,Automotive|Accessories & Spare parts,5,
PID9365,Flipside Flip Flops,249,Footwear|Kids' & Infant Footwear,2.7,
PID9366,Naughty Ninos Girl's Pink Dungaree,1799,Clothing|Kids' Clothing,3,
PID9367,Pu-Good Women Flats,999,Pu-Good Women Flats,4.5,
PID9368,classyworld Brass Cufflink,959,Jewellery|Precious Jewellery,3.2,
PID9369,Ritco lhst2 Faucet Set,393,Home Improvement|Hardware,4.5,
PID9370,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Fiat Linea Sun Shade For Fiat Linea,459,Automotive|Accessories & Spare parts,3.6,
PID9371,Starsy Printed Women's Round Neck White T-Shirt,1099,Clothing|Women's Clothing,2.5,
PID9372,Ruhi's Creations Cotton Floral King sized Double Bedsheet,1399,Baby Care|Baby Bedding,2.9,
PID9373,HANS Men's Crew Length Socks,1400,HANS Men's Crew Length Socks,3.2,
PID9374,Dolz Slim Fit Fit Women's Brown Jeans,1249,Dolz Slim Fit Fit Women's Brown Jeans,3.2,
PID9375,killys Men's Solid No Show Socks,2099,killys Men's Solid No Show Socks,3.5,
PID9376,DOLZ Skinny Fit Fit Women's Brown Jeans,1249,Clothing|Women's Clothing,3,
PID9377,Camey Men's Quarter Length Socks,499,Camey Men's Quarter Length Socks,4.1,
PID9378,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Chevrolet Sail type 1 Sun Shade For Chevrolet Sail,459,Automotive|Accessories & Spare parts,4.2,
PID9379,Clovia Women's Full Coverage Bra,799,Clovia Women's Full Coverage Bra,4.5,
PID9380,Naaz Tic Tac Toe mini Board Game,299,Toys & School Supplies|Puzzles & Board Games,3.3,
PID9381,Shrih Toe & Foot Protector Pain Relief Pad,1500,Shrih Toe & Foot Protector Pain Relief Pad (Pack...,3.2,
PID9382,TIMBERLAKE Slim Fit Fit Women's Brown Jeans,1299,TIMBERLAKE Slim Fit Fit Women's Brown Jeans,3.3,
PID9383,My Lil' Berry Girl's Blue Dungaree,1149,Clothing|Kids' Clothing,3.3,
PID9384,Reebok Solid Men's Three Fourths,1299,Clothing|Men's Clothing,2.8,
PID9385,Urban Girl Foundation Brush,1999,Beauty and Personal Care|Makeup,3.8,
PID9386,Clovia Women's T-Shirt Bra,599,Clovia Women's T-Shirt Bra,4.9,
PID9387,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Hyundai Verna type 2 Sun Shade For Hyundai Verna,459,Automotive|Accessories & Spare parts,2.8,
PID9388,fourgee Slim Fit Women's Blue Jeans,2000,fourgee Slim Fit Women's Blue Jeans,3.9,
PID9389,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Honda Civic Sun Shade For Honda Civic,459,Automotive|Accessories & Spare parts,4.7,
PID9390,Nivea Sensitive Shaving Cream,460,Beauty and Personal Care|Men's Grooming,3.8,
PID9391,LondonHouze Printed Women's Round Neck Grey T-Shirt,999,LondonHouze Printed Women's Round Neck Grey T-Shirt,4.3,
PID9392,Fisher-Price Baby Girl's Orange Leggings,399,Baby Care|Infant Wear,3,
PID9393,Legmark Slim Fit Women's Blue Jeans,1599,Legmark Slim Fit Women's Blue Jeans,2.7,
PID9394,Ritco rslpf3 Faucet Set,860,Home Improvement|Hardware,2.8,
PID9395,Ajaero Slim Fit Women's Light Blue Jeans,1599,Clothing|Women's Clothing,4.6,
PID9396,D&D Women Flats,999,D&D Women Flats,2.9,
PID9397,PEDI SPIN FP-156892,899,Beauty and Personal Care|Body and Skin Care,2.8,
PID9398,Linzina Fashions LIN-HOSS-1.5 Faucet Set,499,Linzina Fashions LIN-HOSS-1.5 Faucet Set,2.7,
PID9399,Naaz Manicure Pedicure Kit For Kids and adult Board Game,390,Toys & School Supplies|Puzzles & Board Games,4.8,
PID9400,ELLE Girl's Red Romper,1099,Clothing|Kids' Clothing,2.8,
PID9401,Moladz Flip Flops,999,Footwear|Kids' & Infant Footwear,4.6,
PID9402,Clovia Women's T-Shirt Bra,599,Clothing|Women's Clothing,3.6,
PID9403,fourgee Slim Fit Women's Blue Jeans,2000,Clothing|Women's Clothing,4.1,
PID9404,Pu-Good Women Flats,999,Pu-Good Women Flats,4.3,
PID9405,soie Fashion Women's Full Coverage Bra,540,soie Fashion Women's Full Coverage Bra,4,
PID9406,Dassler Slim Fit Women's Multicolor Jeans,3199,Dassler Slim Fit Women's Multicolor Jeans,3.8,
PID9407,Clovia Women's T-Shirt Bra,599,Clovia Women's T-Shirt Bra,3.8,
PID9408,Clovia Women's Plunge Bra,399,Clovia Women's Plunge Bra,2.5,
PID9409,Ritco rsacf5 Faucet Set,720,Home Improvement|Hardware,3.6,
PID9410,Dassler Slim Fit Women's Multicolor Jeans,4199,Dassler Slim Fit Women's Multicolor Jeans,4.5,
PID9411,Black & Decker SB3220 500 W Hand Blender,3490,Home & Kitchen|Kitchen Appliances,2.7,
PID9412,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Toyota Liva Sun Shade For Toyota Etios Liva,459,Automotive|Accessories & Spare parts,4.5,
PID9413,INDILEGO Women Flats,1199,INDILEGO Women Flats,4.5,
PID9414,MIRICHI Printed Women's Polo Neck Red T-Shirt,499,Clothing|Women's Clothing,4,
PID9415,Firangi Cotton- Polyester Free Floor Mat Firangi Decorative Loopy Door Mat,999,Firangi Cotton- Polyester Free Floor Mat Firangi...,4.6,
PID9416,Foot Candy Women Flats,1999,Foot Candy Women Flats,2.6,
PID9417,Ruhi's Creations Polyester Silk Blend Cartoon King sized Double Bedsheet,1399,Ruhi's Creations Polyester Silk Blend Cartoon Ki...,3.9,
PID9418,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Volkswagen Polo type 2 Sun Shade For Volkswagen Polo,459,Automotive|Accessories & Spare parts,2.7,
PID9419,INDILEGO Women Flats,1399,Footwear|Women's Footwear,4.7,
PID9420,TIMBERLAKE Slim Fit Fit Women's Blue Jeans,1499,Clothing|Women's Clothing,5,
PID9421,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Maruti Wagon-R type 2 Sun Shade For Maruti WagonR,459,Automotive|Accessories & Spare parts,2.9,
PID9422,Amita Home Furnishing Cotton Floral Single Bedsheet,799,Amita Home Furnishing Cotton Floral Single Bedsh...,2.6,
PID9423,Babyoye Premium Baby Girl's Grey Leggings,499,Baby Care|Infant Wear,4.4,
PID9424,883 Police Full Sleeve Solid Men's Jacket,7499,883 Police Full Sleeve Solid Men's Jacket,4.9,
PID9425,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Mahindra Bolero Sun Shade For Mahindra Bolero,459,Automotive|Accessories & Spare parts,4.7,
PID9426,Style World Women Flats,1199,Style World Women Flats,3.4,
PID9427,Just Wow Women Flats,1320,Just Wow Women Flats,2.6,
PID9428,Firangi Cotton- Polyester Free Floor Mat Firangi Decorative TRD Fur Door Mat,1499,Firangi Cotton- Polyester Free Floor Mat Firangi...,2.8,
PID9429,Furnishing Zone Printed Back Cushion,999,Home Furnishing|Cushions- Pillows & Covers,2.7,
PID9430,Babyoye Premium Baby Girl's Multicolor Leggings,599,Baby Care|Infant Wear,3,
PID9431,Arcley ARC INSPIRE CROP Nylon- Polyester Yoga Strap,1687,Sports & Fitness|Fitness Accessories,4,
PID9432,SMART TRADERS Women Flats,1199,SMART TRADERS Women Flats,3.8,
PID9433,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Skoda Rapid Sun Shade For Skoda Rapid,459,Automotive|Accessories & Spare parts,2.9,
PID9434,NESTWELL HAND BLENDER EGG-LASSI-BUTTER-MILK-JUICE LIQUIDIZING 0 W Hand Blender,399,Home & Kitchen|Kitchen Appliances,4.1,
PID9435,Naughty Ninos Girl's Multicolor Romper,1499,Clothing|Kids' Clothing,3,
PID9436,GREENWICH Baby Girl's Black Jeggings,225,Baby Care|Infant Wear,3.7,
PID9437,Foot Candy Women Flats,1999,Footwear|Women's Footwear,2.8,
PID9438,Urban Girl Foundation Brush,1999,Urban Girl Foundation Brush (Pack of 10),4.1,
